[warn] 北京时间 17:50 处于高峰时段(9-12/14-18)，API 两倍价——冒烟无所谓，放量请换低谷
total=9000 done=50 todo=8987
[860/8987] ok=860 rej=0 flagged=100 calls=879 in_miss=322313 in_hit=1327360 out=110785 ≈¥2.195(标准价, 低谷约半)
[870/8987] ok=870 rej=0 flagged=102 calls=890 in_miss=326308 in_hit=1344256 out=112502 ≈¥2.225(标准价, 低谷约半)
[880/8987] ok=880 rej=0 flagged=103 calls=900 in_miss=329817 in_hit=1359616 out=113904 ≈¥2.251(标准价, 低谷约半)
[890/8987] ok=890 rej=0 flagged=103 calls=910 in_miss=333016 in_hit=1374976 out=115044 ≈¥2.274(标准价, 低谷约半)
[900/8987] ok=900 rej=0 flagged=103 calls=920 in_miss=336743 in_hit=1390336 out=116428 ≈¥2.300(标准价, 低谷约半)
[910/8987] ok=910 rej=0 flagged=106 calls=930 in_miss=340293 in_hit=1405696 out=117730 ≈¥2.325(标准价, 低谷约半)
[920/8987] ok=920 rej=0 flagged=109 calls=940 in_miss=343653 in_hit=1421056 out=118955 ≈¥2.349(标准价, 低谷约半)
[930/8987] ok=930 rej=0 flagged=109 calls=952 in_miss=347678 in_hit=1439488 out=120335 ≈¥2.378(标准价, 低谷约半)
[940/8987] ok=940 rej=0 flagged=111 calls=962 in_miss=351291 in_hit=1454848 out=121619 ≈¥2.403(标准价, 低谷约半)
[950/8987] ok=950 rej=0 flagged=112 calls=972 in_miss=354518 in_hit=1470208 out=122730 ≈¥2.426(标准价, 低谷约半)
[960/8987] ok=960 rej=0 flagged=115 calls=982 in_miss=358316 in_hit=1485568 out=124178 ≈¥2.453(标准价, 低谷约半)
[970/8987] ok=970 rej=0 flagged=115 calls=992 in_miss=361565 in_hit=1500928 out=125457 ≈¥2.477(标准价, 低谷约半)
[980/8987] ok=980 rej=0 flagged=116 calls=1002 in_miss=364803 in_hit=1516288 out=126530 ≈¥2.500(标准价, 低谷约半)
[990/8987] ok=990 rej=0 flagged=116 calls=1012 in_miss=368018 in_hit=1531648 out=127628 ≈¥2.523(标准价, 低谷约半)
[1000/8987] ok=1000 rej=0 flagged=118 calls=1022 in_miss=371201 in_hit=1547008 out=128989 ≈¥2.548(标准价, 低谷约半)
[1010/8987] ok=1010 rej=0 flagged=119 calls=1033 in_miss=374933 in_hit=1563904 out=130401 ≈¥2.575(标准价, 低谷约半)
[1020/8987] ok=1020 rej=0 flagged=121 calls=1043 in_miss=377962 in_hit=1579264 out=131596 ≈¥2.598(标准价, 低谷约半)
[1030/8987] ok=1030 rej=0 flagged=123 calls=1053 in_miss=381487 in_hit=1594624 out=132917 ≈¥2.624(标准价, 低谷约半)
[1040/8987] ok=1040 rej=0 flagged=123 calls=1063 in_miss=384982 in_hit=1609984 out=134094 ≈¥2.648(标准价, 低谷约半)
total=9000 done=1097 todo=7940
[10/7940] ok=10 rej=0 flagged=3 calls=31 in_miss=1907 in_hit=57088 out=4716 ≈¥0.070(标准价, 低谷约半)
[20/7940] ok=20 rej=0 flagged=4 calls=41 in_miss=3633 in_hit=73856 out=5904 ≈¥0.091(标准价, 低谷约半)
[30/7940] ok=30 rej=0 flagged=6 calls=51 in_miss=6311 in_hit=89856 out=7368 ≈¥0.116(标准价, 低谷约半)
[40/7940] ok=40 rej=0 flagged=8 calls=61 in_miss=10023 in_hit=105216 out=8783 ≈¥0.143(标准价, 低谷约半)
[50/7940] ok=50 rej=0 flagged=9 calls=71 in_miss=13788 in_hit=120576 out=10252 ≈¥0.170(标准价, 低谷约半)
[60/7940] ok=60 rej=0 flagged=10 calls=82 in_miss=17721 in_hit=137472 out=11762 ≈¥0.198(标准价, 低谷约半)
[70/7940] ok=70 rej=0 flagged=11 calls=92 in_miss=20667 in_hit=152832 out=12958 ≈¥0.221(标准价, 低谷约半)
[80/7940] ok=80 rej=0 flagged=13 calls=102 in_miss=23850 in_hit=168192 out=14357 ≈¥0.247(标准价, 低谷约半)
[90/7940] ok=90 rej=0 flagged=15 calls=112 in_miss=26966 in_hit=183552 out=15564 ≈¥0.270(标准价, 低谷约半)
[100/7940] ok=100 rej=0 flagged=15 calls=122 in_miss=30109 in_hit=198912 out=16642 ≈¥0.293(标准价, 低谷约半)
[110/7940] ok=110 rej=0 flagged=18 calls=132 in_miss=33726 in_hit=214272 out=18087 ≈¥0.319(标准价, 低谷约半)
[120/7940] ok=120 rej=0 flagged=20 calls=142 in_miss=37216 in_hit=229632 out=19395 ≈¥0.344(标准价, 低谷约半)
[130/7940] ok=130 rej=0 flagged=22 calls=152 in_miss=40874 in_hit=244992 out=20749 ≈¥0.370(标准价, 低谷约半)
[140/7940] ok=140 rej=0 flagged=22 calls=162 in_miss=44518 in_hit=260352 out=22017 ≈¥0.395(标准价, 低谷约半)
[150/7940] ok=150 rej=0 flagged=23 calls=172 in_miss=48024 in_hit=275712 out=23117 ≈¥0.419(标准价, 低谷约半)
[160/7940] ok=160 rej=0 flagged=25 calls=182 in_miss=50920 in_hit=291072 out=24299 ≈¥0.442(标准价, 低谷约半)
